longitude,latitude,no,no2,o3,co,so2,pm2_5,pm10,ch4,time,year,month,hour
74.4,32,0.163638,4.333007,157.74948,506.704,6.8062387,96.633316,158.45811,1262.6068,2019-09-15 12:00:00,2019,9,12
74.4,32,0.09059278,29.213923,77.97474,1050.171,20.612677,127.90502,197.6446,1272.3113,2019-09-15 15:00:00,2019,9,15
74.4,32,0.12130101,36.24777,42.51914,1303.3917,25.655373,139.54721,208.79817,1271.9192,2019-09-15 21:00:00,2019,9,21
74.4,32,0.08794671,32.903645,62.701187,1184.7583,25.765951,131.15398,199.12613,1271.3221,2019-09-15 18:00:00,2019,9,18
74.4,32,0.13352163,5.1447906,155.53647,416.21497,11.157199,73.12488,123.20423,1261.731,2019-09-16 12:00:00,2019,9,12
74.4,32,0.12248478,27.649403,79.79236,879.1372,19.07253,89.340775,140.28748,1271.3672,2019-09-16 15:00:00,2019,9,15
74.4,32,0.12032615,23.517221,61.901257,835.6877,14.790925,67.70546,105.22522,1270.4124,2019-09-16 18:00:00,2019,9,18
74.4,32,0.16391653,25.390396,51.295357,870.20575,15.78278,62.623913,98.722885,1270.9475,2019-09-16 21:00:00,2019,9,21
74.4,32,0.057029583,28.234629,42.928993,1219.1971,16.584814,138.2049,208.21494,1271.6388,2019-09-16 00:00:00,2019,9,0
74.4,32,0.7685415,9.877941,90.76784,815.4384,7.8874903,109.554665,167.6575,1268.5082,2019-09-16 03:00:00,2019,9,3
74.4,32,0.3082139,3.8629951,164.2272,610.09625,8.584658,112.68851,179.15143,1263.4716,2019-09-16 06:00:00,2019,9,6
74.4,32,0.26464093,4.1872044,190.03143,566.062,9.475684,107.88381,177.36214,1261.8257,2019-09-16 09:00:00,2019,9,9
74.4,32,0.24117455,2.6692357,153.47116,423.57477,4.553175,76.930885,134.70067,1263.6494,2019-09-17 09:00:00,2019,9,9
74.4,32,1.4466295,76.687996,11.306968,2194.5088,38.72455,129.85068,189.62872,1274.0515,2019-09-17 21:00:00,2019,9,21
74.4,32,0.31905928,33.159477,31.274992,1054.1195,18.02902,72.074875,111.953735,1272.5223,2019-09-17 00:00:00,2019,9,0
74.4,32,1.6426469,15.952523,87.39466,786.5084,10.859435,61.04665,101.3564,1268.5167,2019-09-17 03:00:00,2019,9,3
74.4,32,0.20566162,2.8845248,146.80379,426.6269,4.698708,64.087326,112.797134,1262.7388,2019-09-17 06:00:00,2019,9,6
74.4,32,0.16193198,3.4116902,134.27097,380.46814,3.8281665,29.613045,48.077538,1264.5876,2019-09-17 12:00:00,2019,9,12
74.4,32,0.17512746,46.762558,75.83636,1154.5194,34.966724,72.959564,109.83396,1273.9873,2019-09-17 15:00:00,2019,9,15
74.4,32,8.311278,82.90241,27.86264,2135.7747,69.740425,122.090164,179.82214,1274.4568,2019-09-17 18:00:00,2019,9,18
74.4,32,0.07603944,16.583612,86.04629,729.1524,12.736607,92.872986,140.20392,1269.694,2019-09-18 21:00:00,2019,9,21
74.4,32,0.14386217,3.3633997,151.29852,405.94965,6.634105,61.271286,102.149796,1264.1282,2019-09-18 12:00:00,2019,9,12
74.4,32,0.07311485,15.23756,102.67867,711.77124,13.361217,83.09433,127.532906,1270.1123,2019-09-18 15:00:00,2019,9,15
74.4,32,4.670716,70.78636,6.2050257,2208.5137,28.983017,138.677,203.68822,1274.0605,2019-09-18 00:00:00,2019,9,0
74.4,32,1.9211797,20.003511,102.4589,1013.7771,11.524571,68.87544,102.126816,1269.349,2019-09-18 03:00:00,2019,9,3
74.4,32,0.27769715,2.7549179,157.35036,432.20462,5.781783,49.535763,82.76183,1263.7776,2019-09-18 06:00:00,2019,9,6
74.4,32,0.18919337,2.405708,168.74055,419.6534,6.83965,63.043663,104.68222,1263.0298,2019-09-18 09:00:00,2019,9,9
74.4,32,0.077014305,17.335289,92.9622,789.5696,13.260944,94.683655,141.79337,1270.3569,2019-09-18 18:00:00,2019,9,18
74.4,32,0.42646846,5.7832565,109.913025,397.1578,8.368517,47.613087,74.08066,1261.2694,2019-09-19 06:00:00,2019,9,6
74.4,32,0.11949055,23.25665,53.848076,739.41833,13.54839,79.855064,118.922905,1267.8221,2019-09-19 21:00:00,2019,9,21
74.4,32,0.025764279,11.046499,98.32092,528.0175,8.118685,61.61451,92.941925,1265.5482,2019-09-19 00:00:00,2019,9,0
74.4,32,0.35262248,9.0731,87.662895,440.06128,9.027803,41.37047,62.53325,1263.7427,2019-09-19 03:00:00,2019,9,3
74.4,32,0.28716728,3.1707797,127.717674,345.37946,5.5383453,44.97023,72.44375,1259.4318,2019-09-19 09:00:00,2019,9,9
74.4,32,0.11754082,16.010248,69.66418,553.9063,10.677832,74.49303,112.765656,1267.2942,2019-09-19 15:00:00,2019,9,15
74.4,32,0.13188526,23.073393,51.416138,722.0065,13.628886,82.169846,122.89589,1269.1237,2019-09-19 18:00:00,2019,9,18
74.4,32,0.33813876,2.8343692,129.07826,364.7149,6.468366,59.73834,90.04466,1259.3934,2019-09-20 06:00:00,2019,9,6
74.4,32,0.14511557,19.340073,55.797607,664.0459,7.6404443,74.83534,110.81927,1268.5073,2019-09-20 00:00:00,2019,9,0
74.4,32,1.1398953,11.48191,76.82257,563.2689,5.6801186,68.442604,101.29403,1266.5475,2019-09-20 03:00:00,2019,9,3
74.4,32,0.2135998,2.324165,145.43246,343.64276,6.6313076,56.61875,84.43554,1256.4996,2019-09-20 09:00:00,2019,9,9
74.4,32,0.2054179,4.3756227,111.660934,319.88104,4.9442472,60.64452,90.54264,1257.8408,2019-09-20 12:00:00,2019,9,12
74.4,32,0.21460949,28.599894,53.471325,766.968,18.19153,83.35594,124.17575,1269.91,2019-09-20 15:00:00,2019,9,15
74.4,32,0.45985758,51.884438,26.44491,1202.2433,44.287823,104.471924,156.05327,1272.1744,2019-09-20 18:00:00,2019,9,18
74.4,32,0.40331542,43.405846,28.425102,1076.8827,34.7659,90.26223,133.72581,1271.3134,2019-09-20 21:00:00,2019,9,21
74.4,32,1.2717805,62.328053,10.1470995,1486.692,52.839348,108.76607,159.23662,1273.5776,2019-09-21 00:00:00,2019,9,0
74.4,32,1.5990565,14.728405,97.62876,689.0991,18.78202,56.72121,83.48713,1265.1377,2019-09-21 03:00:00,2019,9,3
74.4,32,0.26384014,2.2106893,147.04865,357.62604,5.0130324,34.88529,52.619015,1260.5999,2019-09-21 06:00:00,2019,9,6
74.4,32,0.18153372,1.8652768,149.23318,330.4771,4.354024,34.370804,53.38025,1259.9922,2019-09-21 09:00:00,2019,9,9
74.4,32,0.15277521,3.8907318,132.31003,350.50766,4.461828,38.729107,59.300457,1260.9124,2019-09-21 12:00:00,2019,9,12
74.4,32,0.22150317,38.68027,50.388893,1080.0393,22.839338,79.02637,115.343216,1272.8433,2019-09-21 15:00:00,2019,9,15
74.4,32,1.2497765,60.87363,25.553009,1575.7631,34.19435,100.29589,145.69334,1272.4694,2019-09-21 18:00:00,2019,9,18
74.4,32,8.1383095,65.448784,22.255653,1787.6187,44.075024,100.2181,145.3765,1271.6155,2019-09-21 21:00:00,2019,9,21
74.4,32,0.38573304,3.714081,141.04352,386.464,5.282513,48.5265,73.58976,1257.3585,2019-09-22 06:00:00,2019,9,6
74.4,32,0.20144881,31.833609,47.47663,904.2684,17.785988,73.067635,106.78166,1269.4475,2019-09-22 18:00:00,2019,9,18
74.4,32,27.389519,78.09892,2.733115,2755.703,36.442123,166.19836,240.19188,1273.6777,2019-09-22 00:00:00,2019,9,0
74.4,32,2.4778273,23.123257,92.0272,969.36127,14.2062845,75.67376,110.3622,1263.4646,2019-09-22 03:00:00,2019,9,3
74.4,32,0.23128663,2.1953752,143.20784,311.56393,4.0445743,38.038696,58.65539,1255.7605,2019-09-22 09:00:00,2019,9,9
74.4,32,0.18202116,4.387669,131.74733,337.23,6.0324745,35.02988,53.156303,1256.667,2019-09-22 12:00:00,2019,9,12
74.4,32,0.12492194,20.94722,71.97107,653.58124,13.606882,54.084587,79.75312,1267.2627,2019-09-22 15:00:00,2019,9,15
74.4,32,0.17923583,28.959951,48.117054,881.553,14.726027,81.275024,119.381645,1268.4165,2019-09-22 21:00:00,2019,9,21
74.4,32,0.18619914,1.9844341,150.0215,315.64886,6.879202,49.69666,75.52334,1252.7655,2019-09-23 09:00:00,2019,9,9
74.4,32,0.20527864,34.706284,41.637302,1034.8839,22.228027,88.71964,132.8228,1269.0876,2019-09-23 21:00:00,2019,9,21
74.4,32,0.20674093,29.678791,41.183517,893.0651,20.290565,89.71707,132.60109,1268.8282,2019-09-23 00:00:00,2019,9,0
74.4,32,1.4815158,13.256381,84.81964,656.6699,19.058882,80.242294,121.245865,1264.071,2019-09-23 03:00:00,2019,9,3
74.4,32,0.26826185,2.7099288,145.90967,359.52383,10.1177025,52.945877,81.24746,1253.7316,2019-09-23 06:00:00,2019,9,6
74.4,32,0.11809789,3.3122716,142.7861,355.7856,7.3761168,62.86749,95.27157,1254.7948,2019-09-23 12:00:00,2019,9,12
74.4,32,0.098600596,19.188353,80.02336,665.9313,13.844192,75.64044,112.35232,1266.0396,2019-09-23 15:00:00,2019,9,15
74.4,32,0.20165771,31.279816,47.929848,912.82556,19.124617,84.38533,125.53653,1269.8406,2019-09-23 18:00:00,2019,9,18
74.4,32,0.15559536,2.3072264,151.00256,352.13028,5.26789,51.824226,76.45056,1254.9761,2019-09-24 09:00:00,2019,9,9
74.4,32,0.17505783,26.187557,47.306606,924.22516,17.535599,86.793175,127.20925,1268.7368,2019-09-24 00:00:00,2019,9,0
74.4,32,0.7406186,9.4552765,97.28957,563.769,9.095208,65.27478,95.536736,1261.0225,2019-09-24 03:00:00,2019,9,3
74.4,32,0.21467912,2.1472185,140.46526,351.3931,5.3361306,52.98863,78.98242,1254.289,2019-09-24 06:00:00,2019,9,6
74.4,32,0.13675958,4.4086113,131.23033,381.9803,5.007474,61.288,91.47698,1257.6571,2019-09-24 12:00:00,2019,9,12
74.4,32,0.08439542,13.178247,84.7727,531.7106,7.765493,63.274426,94.444466,1265.2865,2019-09-24 15:00:00,2019,9,15
74.4,32,0.22394033,30.506521,47.120255,905.2141,17.381557,80.938835,119.65809,1270.607,2019-09-24 18:00:00,2019,9,18
74.4,32,0.12728947,21.883999,54.916805,780.79456,12.765156,73.76996,110.007065,1268.2035,2019-09-24 21:00:00,2019,9,21
74.4,32,0.10027179,22.35291,59.13905,875.1102,12.843702,100.76675,149.64116,1268.8717,2019-09-25 21:00:00,2019,9,21
74.4,32,0.15152182,3.531355,132.12094,362.85492,4.4821615,54.98724,80.495544,1258.632,2019-09-25 12:00:00,2019,9,12
74.4,32,0.08996608,18.401243,64.703415,638.4684,8.41003,68.5114,99.991585,1266.3856,2019-09-25 00:00:00,2019,9,0
74.4,32,0.33953142,6.9725714,97.229385,397.30457,5.0559263,55.12407,80.83466,1260.3865,2019-09-25 03:00:00,2019,9,3
74.4,32,0.2184045,2.4583828,131.52682,314.70703,4.960947,54.638866,80.821014,1255.471,2019-09-25 06:00:00,2019,9,6
74.4,32,0.18076776,1.8738757,143.28319,335.0314,3.7103348,53.87614,79.607735,1255.7677,2019-09-25 09:00:00,2019,9,9
74.4,32,0.16739818,26.433344,64.634254,852.1256,16.60501,85.263405,123.55783,1270.8362,2019-09-25 15:00:00,2019,9,15
74.4,32,0.23563871,32.294945,45.4977,1082.0427,17.564276,106.044525,155.12743,1271.5184,2019-09-25 18:00:00,2019,9,18
74.4,32,0.21262494,2.366351,155.85254,399.7683,5.32666,70.54615,103.793045,1255.8322,2019-09-26 09:00:00,2019,9,9
74.4,32,0.14511557,28.495201,55.16426,958.90137,16.156584,97.02466,143.91508,1268.238,2019-09-26 00:00:00,2019,9,0
74.4,32,0.7381118,11.81753,98.11581,652.50214,8.86904,84.62257,125.46118,1262.9508,2019-09-26 03:00:00,2019,9,3
74.4,32,0.31171298,3.5512648,142.9545,397.6271,6.61376,75.70639,111.838425,1255.0089,2019-09-26 06:00:00,2019,9,6
74.4,32,0.16461286,5.4599853,138.88417,468.5456,8.090832,128.34789,188.46542,1259.7021,2019-09-26 12:00:00,2019,9,12
