longitude,latitude,no,no2,o3,co,so2,pm2_5,pm10,ch4,time,year,month,hour
74.4,32,0.39607358,7.230087,248.48811,1657.7574,34.38125,143.95924,207.3559,1287.2794,2021-01-01 09:00:00,2021,1,9
74.4,32,7.3591137,102.9251,7.945321,4829.7056,16.216316,364.89246,522.05304,1295.1848,2021-01-01 21:00:00,2021,1,21
74.4,32,17.123497,95.03504,0.33111805,3585.6602,18.206097,289.27332,415.25488,1294.4604,2021-01-01 00:00:00,2021,1,0
74.4,32,35.378254,111.23218,12.762475,5192.9873,15.276726,379.92737,544.03186,1295.0665,2021-01-01 03:00:00,2021,1,3
74.4,32,2.8903344,35.091446,204.06776,2892.5063,22.919138,238.19554,342.34253,1290.9755,2021-01-01 06:00:00,2021,1,6
74.4,32,0.63895416,53.52568,161.6093,2297.5366,25.140644,191.56038,274.85992,1293.7303,2021-01-01 12:00:00,2021,1,12
74.4,32,1.2302792,109.401886,27.482443,3954.785,19.30037,304.00543,435.47974,1295.2482,2021-01-01 15:00:00,2021,1,15
74.4,32,17.632236,123.759384,2.6071014,5264.665,18.07413,368.02216,526.70715,1295.1195,2021-01-01 18:00:00,2021,1,18
74.4,32,1.0518789,14.94277,160.17824,1936.141,20.927767,154.69334,222.36273,1289.0052,2021-01-02 06:00:00,2021,1,6
74.4,32,0.0161549,9.7303095,84.07424,1166.2495,3.7631168,112.943855,161.98003,1287.8248,2021-01-02 21:00:00,2021,1,21
74.4,32,0.098600596,41.10114,28.359068,3408.0154,11.928178,295.78604,423.1868,1295.0276,2021-01-02 00:00:00,2021,1,0
74.4,32,7.54016,56.400154,24.840527,3759.5994,8.14381,227.69089,325.70117,1294.8992,2021-01-02 03:00:00,2021,1,3
74.4,32,0.34510207,7.3357606,180.91205,1331.8142,30.807394,147.95276,213.29459,1286.906,2021-01-02 09:00:00,2021,1,9
74.4,32,0.9697118,52.150116,89.100586,1676.2057,19.91594,125.96922,181.1304,1292.0629,2021-01-02 12:00:00,2021,1,12
74.4,32,0.5995417,78.41366,40.63671,2538.295,17.306633,178.96468,256.61432,1292.0914,2021-01-02 15:00:00,2021,1,15
74.4,32,0.15096475,40.44564,62.761505,2128.5657,8.46851,157.56271,225.76,1289.4401,2021-01-02 18:00:00,2021,1,18
74.4,32,1.2762371,10.396626,82.4177,767.1188,4.046733,109.03095,158.45589,1281.024,2021-01-03 06:00:00,2021,1,6
74.4,32,0.021307755,7.718799,67.15604,852.16095,1.9968135,107.52193,154.7904,1284.3904,2021-01-03 00:00:00,2021,1,0
74.4,32,0.9929693,21.041971,46.119106,889.5145,1.9891069,100.5819,145.50356,1284.3624,2021-01-03 03:00:00,2021,1,3
74.4,32,0.34440574,6.7978754,99.24961,506.3931,3.2307014,126.26099,182.90535,1274.3477,2021-01-03 09:00:00,2021,1,9
74.4,32,0.26154226,14.399459,72.4719,481.6255,2.277296,72.58953,104.63083,1276.1857,2021-01-03 12:00:00,2021,1,12
74.4,32,0.17631124,17.733982,57.11833,608.8709,1.7232821,53.555584,77.598946,1279.4003,2021-01-03 15:00:00,2021,1,15
74.4,32,0.039273117,10.90596,66.367355,494.24008,2.2845256,53.782173,78.10366,1278.0801,2021-01-03 18:00:00,2021,1,18
74.4,32,0.009470114,4.547121,70.568115,350.59424,3.899598,56.554424,82.00397,1278.8191,2021-01-03 21:00:00,2021,1,21
74.4,32,0.42531952,4.17901,100.64759,376.48538,10.829353,69.77608,104.93861,1272.3394,2021-01-04 09:00:00,2021,1,9
74.4,32,0.023675283,8.59592,59.3609,546.4364,2.828674,85.963356,123.90641,1280.2244,2021-01-04 21:00:00,2021,1,21
74.4,32,0.018383162,3.4679887,70.93806,345.9065,4.451105,64.54634,92.98426,1279.334,2021-01-04 00:00:00,2021,1,0
74.4,32,0.5936229,15.299204,59.296837,554.79675,3.2164962,62.690758,90.05633,1278.8976,2021-01-04 03:00:00,2021,1,3
74.4,32,0.8528673,7.2778654,81.444565,439.50873,5.534411,60.23264,88.15255,1274.4326,2021-01-04 06:00:00,2021,1,6
74.4,32,0.5939711,17.806854,60.376305,503.93372,4.853933,80.89729,119.83231,1277.5924,2021-01-04 12:00:00,2021,1,12
74.4,32,4.2371793,57.900772,4.417808,1574.1698,5.3211246,136.3656,198.24986,1291.0461,2021-01-04 15:00:00,2021,1,15
74.4,32,9.697396,57.170113,5.944098,2090.373,4.867917,173.78062,250.99924,1290.1663,2021-01-04 18:00:00,2021,1,18
74.4,32,0.27017677,9.821299,74.37477,409.57343,4.1765985,73.758965,105.73961,1270.8016,2021-01-05 09:00:00,2021,1,9
74.4,32,0.017965363,4.0459614,61.65101,345.3862,2.467917,55.588245,79.684044,1279.6611,2021-01-05 00:00:00,2021,1,0
74.4,32,0.5065814,16.182442,45.89837,548.63916,2.5801184,66.726074,95.72976,1279.3134,2021-01-05 03:00:00,2021,1,3
74.4,32,1.2079966,12.969993,61.05396,506.35797,2.262243,74.0503,106.19312,1273.7421,2021-01-05 06:00:00,2021,1,6
74.4,32,0.24232349,16.637121,61.092514,483.63983,4.1576705,59.369812,85.38408,1274.7819,2021-01-05 12:00:00,2021,1,12
74.4,32,0.06072014,16.652319,62.476845,499.12958,3.7947302,51.510906,74.173,1274.1676,2021-01-05 15:00:00,2021,1,15
74.4,32,0.09080168,13.932227,54.670166,484.6903,5.3122463,50.785995,73.026695,1275.6584,2021-01-05 18:00:00,2021,1,18
74.4,32,0.01002718,8.402487,62.333786,391.86606,4.798841,51.99483,74.54806,1275.5278,2021-01-05 21:00:00,2021,1,21
74.4,32,0.49080953,5.3936863,104.458275,465.63617,5.1624794,33.889637,49.38288,1273.6722,2021-01-06 09:00:00,2021,1,9
74.4,32,0.010305712,5.7078967,61.410496,375.79584,3.4623485,48.442417,69.42248,1279.6802,2021-01-06 00:00:00,2021,1,0
74.4,32,0.869997,17.13984,48.08443,607.25323,3.1481164,59.645073,85.44744,1280.4532,2021-01-06 03:00:00,2021,1,3
74.4,32,0.85551333,8.413229,83.31938,493.66467,6.552135,41.47318,60.12457,1274.0731,2021-01-06 06:00:00,2021,1,6
74.4,32,9.277229,62.520138,0.1808374,2334.5564,5.134473,185.21652,265.04538,1293.5863,2021-01-06 21:00:00,2021,1,21
74.4,32,1.2070913,32.819004,56.79378,862.56525,4.529129,83.15891,119.625916,1285.3159,2021-01-06 12:00:00,2021,1,12
74.4,32,32.766453,75.87627,0.050240345,2698.238,6.888811,192.86311,276.5299,1294.8838,2021-01-06 15:00:00,2021,1,15
74.4,32,34.209255,77.648346,0.025764279,3363.347,7.245751,239.41478,342.87283,1294.0381,2021-01-06 18:00:00,2021,1,18
74.4,32,2.2949705,16.467283,124.3657,1213.164,11.060744,78.78633,112.91426,1281.8302,2021-01-07 06:00:00,2021,1,6
74.4,32,1.5040768,63.052723,1.3382229,2178.7073,4.410474,133.21846,190.61333,1292.6948,2021-01-07 00:00:00,2021,1,0
74.4,32,10.423114,42.262764,15.932213,2011.8632,1.9739616,99.44622,142.20769,1290.0854,2021-01-07 03:00:00,2021,1,3
74.4,32,0.36111772,4.7733984,137.29881,569.492,10.218391,48.217854,69.32388,1273.6469,2021-01-07 09:00:00,2021,1,9
74.4,32,1.4269233,53.668053,76.46088,1339.0696,12.111034,144.34329,206.79205,1290.0659,2021-01-07 12:00:00,2021,1,12
74.4,32,47.17913,130.19812,0.17317773,3713.855,23.837042,283.19385,405.18884,1294.7384,2021-01-07 15:00:00,2021,1,15
74.4,32,114.4466,147.2463,0.08147083,5739.7266,36.268166,389.39325,556.92554,1294.566,2021-01-07 18:00:00,2021,1,18
74.4,32,92.62551,142.47699,0.038855318,5553.3574,32.788666,409.34003,585.4531,1294.948,2021-01-07 21:00:00,2021,1,21
74.4,32,22.752504,77.69782,16.654762,3034.8591,20.96899,255.25685,365.2052,1293.5951,2021-01-08 21:00:00,2021,1,21
74.4,32,0.80677015,44.26423,120.73045,1290.4979,16.087437,110.75702,158.9631,1288.1595,2021-01-08 12:00:00,2021,1,12
74.4,32,8.216855,124.15595,4.302948,3110.725,21.116753,224.57361,321.53125,1293.7882,2021-01-08 15:00:00,2021,1,15
74.4,32,67.523445,143.465,0.25535715,5532.0986,32.913044,244.48463,349.49258,1294.5583,2021-01-08 00:00:00,2021,1,0
74.4,32,34.523857,119.35576,18.140717,4290.684,23.38568,183.12303,261.91785,1290.3286,2021-01-08 03:00:00,2021,1,3
74.4,32,3.0226374,34.71229,170.11336,2095.0154,28.476597,152.17867,218.1566,1282.3544,2021-01-08 06:00:00,2021,1,6
74.4,32,0.3367461,5.575506,172.98055,795.01074,18.738186,85.59778,123.468,1273.576,2021-01-08 09:00:00,2021,1,9
74.4,32,33.668484,111.236916,0.7186493,3989.3071,23.882582,281.2162,402.37595,1294.2588,2021-01-08 18:00:00,2021,1,18
74.4,32,0.35450256,4.260165,172.68991,745.45123,16.890852,78.04755,112.61585,1275.7546,2021-01-09 09:00:00,2021,1,9
74.4,32,51.98995,144.40146,1.247839,5704.421,31.090952,411.9851,589.14496,1294.3218,2021-01-09 00:00:00,2021,1,0
74.4,32,66.12033,165.88004,11.141693,6741.8843,31.1518,350.2406,500.7314,1294.1869,2021-01-09 03:00:00,2021,1,3
74.4,32,2.2860575,24.137724,165.82565,1641.9307,30.653503,137.3434,197.02322,1279.5759,2021-01-09 06:00:00,2021,1,6
74.4,32,0.9977043,45.990505,111.04604,1352.8269,17.189383,129.38689,185.76338,1288.8246,2021-01-09 12:00:00,2021,1,12
74.4,32,16.891897,106.1501,14.847746,2805.4753,20.839333,208.39766,298.7517,1292.5737,2021-01-09 15:00:00,2021,1,15
74.4,32,35.062817,98.35368,12.286672,3119.3198,23.371265,221.0754,316.51505,1292.2568,2021-01-09 18:00:00,2021,1,18
74.4,32,12.71892,70.14564,23.29735,2129.5068,16.77554,177.32272,253.83965,1291.9615,2021-01-09 21:00:00,2021,1,21
74.4,32,0.40206203,5.2999253,191.98592,1041.6006,19.343124,89.68676,129.7191,1283.1913,2021-01-10 09:00:00,2021,1,9
74.4,32,28.345999,100.65657,22.61893,3558.1445,25.639288,274.98776,393.9218,1294.007,2021-01-10 21:00:00,2021,1,21
74.4,32,24.405598,98.476555,5.2836046,3317.3364,22.31919,267.93842,383.38376,1294.0803,2021-01-10 00:00:00,2021,1,0
74.4,32,28.85307,98.5433,15.415865,3852.4468,18.55272,293.5365,419.84723,1293.8562,2021-01-10 03:00:00,2021,1,3
74.4,32,2.0054357,18.937517,163.14864,1543.7095,21.542768,125.89339,180.92241,1284.4052,2021-01-10 06:00:00,2021,1,6
74.4,32,0.8932545,47.58232,122.66556,1592.657,20.611994,142.17947,204.62743,1290.5618,2021-01-10 12:00:00,2021,1,12
74.4,32,16.311157,114.05388,19.929333,3249.228,24.339445,237.99207,341.6358,1293.7241,2021-01-10 15:00:00,2021,1,15
74.4,32,32.893883,108.81718,15.762395,3786.7222,27.99672,271.0436,388.3959,1294.3534,2021-01-10 18:00:00,2021,1,18
74.4,32,0.41779912,7.509939,243.20955,1625.1287,24.195652,116.75066,168.05222,1287.577,2021-01-11 09:00:00,2021,1,9
74.4,32,6.7934136,69.1516,50.05284,3040.0947,18.33219,225.6016,322.59583,1294.0297,2021-01-11 21:00:00,2021,1,21
74.4,32,59.308258,159.90814,0.22635493,6451.219,24.195316,374.12497,535.5147,1294.9263,2021-01-11 00:00:00,2021,1,0
74.4,32,39.656517,142.13284,14.40688,5836.593,17.236443,332.99078,476.73312,1293.8872,2021-01-11 03:00:00,2021,1,3
74.4,32,2.9880993,43.035122,238.90709,3362.7302,20.625732,227.92662,326.91757,1290.139,2021-01-11 06:00:00,2021,1,6
74.4,32,0.72919875,49.034695,153.30222,2348.909,25.485342,171.74692,246.03424,1293.0845,2021-01-11 12:00:00,2021,1,12
74.4,32,6.5276937,107.745285,31.86446,3764.176,23.04768,257.3633,368.34918,1294.5543,2021-01-11 15:00:00,2021,1,15
74.4,32,17.598814,82.95969,44.242527,3773.5376,23.253725,258.24026,369.34015,1294.2579,2021-01-11 18:00:00,2021,1,18
74.4,32,0.40839866,5.734165,203.75055,1462.6309,14.05351,103.75544,149.55766,1288.9379,2021-01-12 09:00:00,2021,1,9
